name,team_id,swimcloud_url,conference,division,is_mid_major,mens_division_rank,mens_conference_rank,mens_mid_major_rank,womens_division_rank,womens_conference_rank,womens_mid_major_rank
Missouri State,454,https://www.swimcloud.com/team/454,Missouri Valley,Division 1 Mid-Major,True,51,1,1,71,3,18
Monmouth,10007454,https://www.swimcloud.com/team/10007454,Coastal,Division 1,False,52,1,,72,1,
Mount Saint Mary's (MD),544,https://www.swimcloud.com/team/544,MAAC,Division 1 Mid-Major,True,53,1,2,73,5,19
NJIT,443,https://www.swimcloud.com/team/443,America East,Division 1 Mid-Major,True,54,1,3,,,
Niagara,434,https://www.swimcloud.com/team/434,MAAC,Division 1 Mid-Major,True,55,2,4,75,6,21
NC State,394,https://www.swimcloud.com/team/394,ACC,Division 1,False,56,1,,76,1,
NKU,10039851,https://www.swimcloud.com/team/10039851,Horizon,Division 1 Mid-Major,True,57,1,5,79,2,24
Northwestern,401,https://www.swimcloud.com/team/401,Big Ten,Division 1,False,58,1,,80,2,
Oakland,21,https://www.swimcloud.com/team/21,Horizon,Division 1 Mid-Major,True,59,2,6,81,3,25
Ohio State,393,https://www.swimcloud.com/team/393,Big Ten,Division 1,False,60,2,,82,3,
Old Dominion,410,https://www.swimcloud.com/team/410,ASUN,Division 1 Mid-Major,True,61,1,7,84,1,27
Penn State,82,https://www.swimcloud.com/team/82,Big Ten,Division 1,False,62,3,,85,4,
Princeton,477,https://www.swimcloud.com/team/477,Ivy,Division 1 Mid-Major,True,63,1,8,87,1,29
Providence,479,https://www.swimcloud.com/team/479,Big East,Division 1 Mid-Major,True,64,1,9,88,2,30
Purdue,27,https://www.swimcloud.com/team/27,Big Ten,Division 1,False,65,4,,89,5,
Queens (NC),9415,https://www.swimcloud.com/team/9415,ASUN,Division 1 Mid-Major,True,66,2,10,90,2,31
Rider,484,https://www.swimcloud.com/team/484,MAAC,Division 1 Mid-Major,True,67,3,11,92,7,33
Saint Louis,491,https://www.swimcloud.com/team/491,Atlantic 10,Division 1 Mid-Major,True,68,1,12,96,2,36
Saint Mary's (CA),10049846,https://www.swimcloud.com/team/10049846,MPSF,Division 1 Mid-Major,True,69,1,13,97,4,37
Saint Peters,468,https://www.swimcloud.com/team/468,MAAC,Division 1 Mid-Major,True,70,4,14,98,9,38
Seattle,90,https://www.swimcloud.com/team/90,Big West,Division 1 Mid-Major,True,71,1,15,,,
Seton Hall,462,https://www.swimcloud.com/team/462,Big East,Division 1 Mid-Major,True,72,2,16,,,
South Dakota State,451,https://www.swimcloud.com/team/451,Summit,Division 1 Mid-Major,True,73,1,17,,,
Southern Illinois,453,https://www.swimcloud.com/team/453,Missouri Valley,Division 1 Mid-Major,True,74,2,18,,,
Southern Methodist,75,https://www.swimcloud.com/team/75,ACC,Division 1,False,75,2,,,,
