school_name,team_id,event,rank,time,swimmer,year,meet
Adams State,627,100 Back,1,51.63,Kenny Rupp,,Trinity University Tiger Invitational -
Adams State,627,100 Back,2,52.34,Devin Walters,,Trinity University Tiger Invitational -
Adams State,627,100 Back,3,53.43,Ben Brewer,,Trinity University Tiger Invitational -
Adams State,627,100 Back,4,58.79,Eric Branco,,Trinity University Tiger Invitational -
Adams State,627,100 Back,5,59.53,Quintin Cummings,,Intermountain Shootout -
Adams State,627,100 Back,6,1:03.01,Ollie MacIntosh,,Trinity University Tiger Invitational -
Adams State,627,100 Back,7,1:03.47,Quenten Madrid,,2026 Colorado College Classic
Adams State,627,100 Back,8,1:03.91,Duncan Cumby,,Intermountain Shootout -
Adams State,627,100 Breast,1,1:00.70,Keenan Johnson,,Trinity University Tiger Invitational -
Adams State,627,100 Breast,2,1:02.57,Victor Lebsock,,Trinity University Tiger Invitational -
Adams State,627,100 Breast,3,1:04.41,Ben Brewer,,2026 Colorado College Classic
Adams State,627,100 Breast,4,1:09.10,Oliver Mcintosh,,2025 Dan France Contl Divide-Day 1
Adams State,627,100 Breast,5,1:09.69,Quintin Cummings,,2026 Colorado College Classic
Adams State,627,100 Fly,1,51.32,Quintin Cummings,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,2,51.56,Devin Walters,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,3,54.34,Dillon Brown,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,4,55.49,Kenny Rupp,,2026 Colorado College Classic
Adams State,627,100 Fly,5,57.45,Quenten Madrid,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,6,58.39,Victor Lebsock,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,7,58.97,Finn McFarland,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,8,59.04,Zane Spears,,Colorado Mines vs. Adams State
Adams State,627,100 Fly,9,1:07.36,Garret Gabor,,Intermountain Shootout-Day 2 (Saturday)
Adams State,627,100 Free,1,47.41,Kenny Rupp,,2026 Colorado College Classic
Adams State,627,100 Free,2,48.22,Landon Brewer,,2026 Colorado College Classic
Adams State,627,100 Free,3,48.48,Quintin Cummings,,Trinity University Tiger Invitational -
Adams State,627,100 Free,4,49.43,Dillon Brown,,Trinity University Tiger Invitational -
Adams State,627,100 Free,5,50.22,Ben Brewer,,Trinity University Tiger Invitational -
Adams State,627,100 Free,6,50.48,Michael Eckley,,Trinity University Tiger Invitational -
Adams State,627,100 Free,7,50.57,Jess Baker,,Trinity University Tiger Invitational -
Adams State,627,100 Free,8,51.00,Victor Lebsock,,Intermountain Shootout-Day 2 (Saturday)
Adams State,627,100 Free,9,51.06,Devin Walters,,Intermountain Shootout-Day 2 (Saturday)
Adams State,627,100 Free,10,51.20,Zane Spears,,Trinity University Tiger Invitational -
Adams State,627,1000 Free,1,10:39.35,Finn McFarland,,2025 Dan France Contl Divide-Day 1
Adams State,627,1650 Free,1,17:03.38,Finn McFarland,,Trinity University Tiger Invitational -
Adams State,627,200 Back,1,1:52.97,Kenny Rupp,,Trinity University Tiger Invitational -
Adams State,627,200 Back,2,1:54.04,Devin Walters,,Trinity University Tiger Invitational -
Adams State,627,200 Back,3,1:55.00,Ben Brewer,,Trinity University Tiger Invitational -
Adams State,627,200 Back,4,2:16.08,Ollie MacIntosh,,Trinity University Tiger Invitational -
Adams State,627,200 Back,5,2:16.69,Oliver Mcintosh,,Dan France Contl Divide-Day 2
Adams State,627,200 Back,6,2:17.62,Duncan Cumby,,Dan France Contl Divide-Day 2
Adams State,627,200 Breast,1,2:16.43,Keenan Johnson,,Trinity University Tiger Invitational -
Adams State,627,200 Breast,2,2:19.32,Victor Lebsock,,Trinity University Tiger Invitational -
Adams State,627,200 Fly,1,2:06.36,Finn McFarland,,Trinity University Tiger Invitational -
Adams State,627,200 Fly,2,2:10.24,Devin Walters,,Colorado Mines vs. Adams State vs. CSU Pueblo
Adams State,627,200 Fly,3,2:12.23,Dillon Brown,,Colorado Mines vs. Adams State
Adams State,627,200 Free,1,1:42.59,Kenny Rupp,,Trinity University Tiger Invitational -
Adams State,627,200 Free,2,1:47.07,Quintin Cummings,,Intermountain Shootout -
Adams State,627,200 Free,3,1:49.97,Dillon Brown,,Trinity University Tiger Invitational -
Adams State,627,200 Free,4,1:50.22,Finn McFarland,,Trinity University Tiger Invitational -
Adams State,627,200 Free,5,1:51.58,Zane Spears,,Trinity University Tiger Invitational -
