school_name,team_id,event,rank,time,swimmer,year,meet
Air Force,337,100 Back,1,48.41,Dylan Ferguson,,SMU Invitational
Air Force,337,100 Back,2,49.08,Garrett Kennedy,,SMU Invitational
Air Force,337,100 Back,3,49.18,Louie Body VI,,SMU Invitational
Air Force,337,100 Back,4,50.62,Matthew Doty,,AIR FORCE
Air Force,337,100 Back,5,50.72,James Winterfield,,Front Range Invite
Air Force,337,100 Back,6,55.35,Eru Kim,,Front Range Invite
Air Force,337,100 Back,7,55.49,Jack Brown,,Colorado Mines vs. Air Force vs. Western Colorado
Air Force,337,100 Breast,1,52.51,Tanner Wilson,,SMU Invitational
Air Force,337,100 Breast,2,53.42,Bridon Rosales,,SMU Invitational
Air Force,337,100 Breast,3,54.22,Mack Nuval,,SMU Invitational
Air Force,337,100 Breast,4,55.09,Anthony Sebastian,,SMU Invitational
Air Force,337,100 Breast,5,55.12,Brandon Cho,,AIR FORCE
Air Force,337,100 Breast,6,55.35,Cole Wilson,,SMU Invitational
Air Force,337,100 Breast,7,55.45,Jacob Duckworth,,SMU Invitational
Air Force,337,100 Breast,8,57.44,Matthew Doty,,Front Range Invite
Air Force,337,100 Fly,1,47.13,James Winterfield,,SMU Invitational
Air Force,337,100 Fly,2,47.62,Jordan Falls,,SMU Invitational
Air Force,337,100 Fly,3,48.53,Tanner Wilson,,SMU Invitational
Air Force,337,100 Fly,4,48.58,Jonas Dark,,SMU Invitational
Air Force,337,100 Fly,5,48.67,Matthew Doty,,SMU Invitational
Air Force,337,100 Fly,6,49.05,Danny Detjen,,SMU Invitational
Air Force,337,100 Fly,7,49.09,Dylan Ferguson,,SMU Invitational
Air Force,337,100 Fly,8,49.75,Joe Christ,,AIR FORCE
Air Force,337,100 Fly,9,50.07,Keoni Li,,SMU Invitational
Air Force,337,100 Fly,10,50.26,Eru Kim,,AIR FORCE
Air Force,337,100 Free,1,43.83,Joe Christ,,SMU Invitational
Air Force,337,100 Free,2,44.20,Jordan Falls,,SMU Invitational
Air Force,337,100 Free,3,44.59,James Winterfield,,SMU Invitational
Air Force,337,100 Free,4,45.04,Tanner Wilson,,SMU Invitational
Air Force,337,100 Free,5,45.18,Keoni Li,,SMU Invitational
Air Force,337,100 Free,6,45.48,Garrett Kennedy,,SMU Invitational
Air Force,337,100 Free,7,45.93,Jacob Duckworth,,SMU Invitational
Air Force,337,100 Free,8,46.38,Jonas Dark,,AIR FORCE
Air Force,337,100 Free,9,46.69,Tyler Surratt,,"Air Force vs. Denver, LSU, Wyoming"
Air Force,337,100 Free,10,47.28,Danny Detjen,,"Air Force vs. Denver, LSU, Wyoming"
Air Force,337,1000 Free,1,9:24.36,Tyler Surratt,,Seattle vs. Air Force
Air Force,337,1000 Free,2,9:26.96,Tucker Rice,,SMU Invitational
Air Force,337,1000 Free,3,9:32.09,Evan Witte,,AIR FORCE
Air Force,337,1000 Free,4,9:41.00,Ralph Fiscus,,Seattle vs. Air Force
Air Force,337,1000 Free,5,10:03.78,Camden Swigart,,Front Range Invite
Air Force,337,1000 Free,6,10:40.72,Jack Brown,,Front Range Invite
Air Force,337,1650 Free,1,15:36.22,Tucker Rice,,SMU Invitational
Air Force,337,1650 Free,2,15:36.89,Tyler Surratt,,SMU Invitational
Air Force,337,1650 Free,3,15:50.02,Evan Witte,,SMU Invitational
