school_name,team_id,event,rank,time,swimmer,year,meet
Adams State,627,100 Back,1,1:01.62,Ryley Martinez,,Trinity University Tiger Invitational -
Adams State,627,100 Back,2,1:02.04,Ashlyn Popham,,Trinity University Tiger Invitational -
Adams State,627,100 Back,3,1:02.69,Clare Bonham,,Trinity University Tiger Invitational -
Adams State,627,100 Back,4,1:12.58,Brenna Otteman,,Colorado Mines vs. Adams State
Adams State,627,100 Breast,1,1:21.64,Annika Schaak,,Trinity University Tiger Invitational -
Adams State,627,100 Fly,1,1:03.79,Jocelyn Jones,,2025 Dan France Contl Divide-Day 1
Adams State,627,100 Fly,2,1:06.35,Ashlyn Popham,,Intermountain Shootout-Day 2 (Saturday)
Adams State,627,100 Free,1,54.18,Jocelyn Jones,,Trinity University Tiger Invitational -
Adams State,627,100 Free,2,54.76,Ryley Martinez,,Trinity University Tiger Invitational -
Adams State,627,100 Free,3,55.37,Ashlyn Popham,,Trinity University Tiger Invitational -
Adams State,627,100 Free,4,58.74,Brenna Otteman,,Trinity University Tiger Invitational -
Adams State,627,100 Free,5,58.94,Eleanor Schafer,,2026 Colorado College Classic
Adams State,627,100 Free,6,1:00.00,Kennedy Larson,,Trinity University Tiger Invitational -
Adams State,627,100 Free,7,1:00.30,Clare Bonham,,Trinity University Tiger Invitational -
Adams State,627,100 Free,8,1:01.71,Savannah Spicuzza-Woodcock,,Trinity University Tiger Invitational -
Adams State,627,100 Free,9,1:03.55,Lana Rhoads,,Adams State vs. Colorado College
Adams State,627,100 Free,10,1:19.98,Annika Schaak,,2026 Colorado College Classic
Adams State,627,1000 Free,1,11:48.02,Ryley Martinez,,Colorado Mines vs. Adams State vs. CSU Pueblo
Adams State,627,1000 Free,2,12:00.95,Eleanor Schafer,,Intermountain Shootout -
Adams State,627,1000 Free,3,12:05.82,Kennedy Larson,,2025 Dan France Contl Divide-Day 1
Adams State,627,1000 Free,4,13:04.30,Lana Rhoads,,Colorado Mines vs. Adams State
Adams State,627,1000 Free,5,13:35.49,Jenna Lang,,2025 Dan France Contl Divide-Day 1
Adams State,627,1650 Free,1,19:13.73,Ryley Martinez,,Trinity University Tiger Invitational -
