school_name,team_id,event,rank,time,swimmer,year,meet
Incarnate Word,154,100 Back,1,55.91,Laney Skrobanek,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,2,56.75,Kirstin Schauss,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,3,59.30,Grace Clevenger,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Back,4,59.66,Bella Derby,,Trinity v UIW
Incarnate Word,154,100 Back,5,59.86,Abigail Nelson,,SMU v OCU v UIW v UNT
Incarnate Word,154,100 Back,6,1:05.44,Emily Fosbenner,,SMU v OCU v UIW v UNT
Incarnate Word,154,100 Breast,1,1:02.75,Jada Ashford,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Breast,2,1:06.42,Grace Clevenger,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Breast,3,1:07.34,Gabriella Luna,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Breast,4,1:07.54,Elif Eda Altintas,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,1,55.58,Kirstin Schauss,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,2,56.81,Laney Skrobanek,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,3,58.30,Adriana Roldan,,TCU vs UIW
Incarnate Word,154,100 Fly,4,58.66,Gracie Solis,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,5,58.80,Abigail Nelson,,SMU v OCU v UIW v UNT
Incarnate Word,154,100 Fly,6,59.30,Harmonee Freelon,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,7,59.61,Bella Derby,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,8,59.81,KC Nwaeze,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Fly,9,1:00.00,Kayley Radford,,TCU vs UIW
Incarnate Word,154,100 Fly,10,1:00.78,Haley Finley,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,1,50.11,Jada Ashford,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,2,53.07,KC Nwaeze,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,3,53.45,Harmonee Freelon,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,4,54.20,Addy Wilson,,TCU vs UIW
Incarnate Word,154,100 Free,5,54.36,Blanca Sanz Bosquet,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,100 Free,6,54.56,Haley Finley,,TCU vs UIW
Incarnate Word,154,100 Free,7,54.60,Lauren Matula,,SMU v OCU v UIW v UNT
Incarnate Word,154,100 Free,8,54.81,Kirstin Schauss,,UTRGV vs UIW
Incarnate Word,154,100 Free,9,55.54,Grace Clevenger,,UIW vs. Sothwestern
Incarnate Word,154,100 Free,10,58.88,Emily Fosbenner,,SMU v OCU v UIW v UNT
Incarnate Word,154,1000 Free,1,10:34.24,Teha Molina De La Rosa,,SMU v OCU v UIW v UNT
Incarnate Word,154,1000 Free,2,10:39.46,Megan Lopez,,SMU v OCU v UIW v UNT
Incarnate Word,154,1000 Free,3,10:48.32,Lauren Matula,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,1650 Free,1,17:48.34,Teha Molina De La Rosa,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,1650 Free,2,17:54.79,Lauren Matula,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,1650 Free,3,17:57.56,Megan Lopez,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,1,2:03.43,Kirstin Schauss,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,2,2:08.74,Laney Skrobanek,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Back,3,2:10.34,Bella Derby,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Back,4,2:10.91,Addy Wilson,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Back,5,2:13.58,Abigail Nelson,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Breast,1,2:25.69,Gabriella Luna,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Breast,2,2:26.68,Grace Clevenger,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Breast,3,2:27.53,Elif Eda Altintas,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Breast,4,2:37.24,Kayley Radford,,Trinity v UIW
Incarnate Word,154,200 Fly,1,2:02.91,Adriana Roldan,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Fly,2,2:05.59,Kayley Radford,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Fly,3,2:06.95,Blanca Sanz Bosquet,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Fly,4,2:07.77,Addy Wilson,,SMU v OCU v UIW v UNT
Incarnate Word,154,200 Fly,5,2:10.04,Gracie Solis,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Fly,6,2:16.09,Bella Derby,,UIW vs. Sothwestern
Incarnate Word,154,200 Free,1,1:54.15,Blanca Sanz Bosquet,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,2,1:54.83,Teha Molina De La Rosa,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,3,1:55.61,Addy Wilson,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,4,1:55.91,Lauren Matula,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,5,1:57.24,Megan Lopez,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,6,1:57.45,Kayley Radford,,Kellianne Nagy Fall Frenzy Invite
Incarnate Word,154,200 Free,7,1:59.27,Adriana Roldan,,UTRGV vs UIW
