school_name,team_id,event,rank,time,swimmer,year,meet
Amherst College,103,100 Back,1,50.43,Emmanuel Odim,,NESCAC Mens Championships
Amherst College,103,100 Back,2,50.50,Jonah Luetke,,NESCAC Mens Championships
Amherst College,103,100 Back,3,52.15,Owen Vale,,Menck Sprints
Amherst College,103,100 Back,4,53.56,Joel Chen,,MIT vs. Amherst
Amherst College,103,100 Back,5,54.32,JP Giglio,,Amherst vs. Colby
Amherst College,103,100 Back,6,54.88,Henry Liu,,Menck Sprints
Amherst College,103,100 Back,7,55.56,Teddy Sun,,MIT vs. Amherst
Amherst College,103,100 Back,8,55.85,Michael Jang,,Conn Amherst CGA
Amherst College,103,100 Back,9,1:01.81,Jack D'Alessandro,,Amherst vs. Colby
Amherst College,103,100 Breast,1,54.06,Eric Albers,,NESCAC Mens Championships
Amherst College,103,100 Breast,2,54.33,Fynlan Nadel,,NESCAC Mens Championships
Amherst College,103,100 Breast,3,54.80,Henry Liu,,NESCAC Mens Championships
Amherst College,103,100 Breast,4,57.49,Jeffrey Ge,,NESCAC Mens Championships
Amherst College,103,100 Breast,5,58.13,Joel Chen,,Amherst vs Springfield
Amherst College,103,100 Breast,6,58.53,Owen Vale,,Menck Sprints
Amherst College,103,100 Breast,7,1:00.47,Michael Jang,,Amherst vs. Colby
Amherst College,103,100 Breast,8,1:03.36,JP Giglio,,MIT vs. Amherst
Amherst College,103,100 Fly,1,48.90,Cameron Aryanpour,,NESCAC Mens Championships
Amherst College,103,100 Fly,2,49.78,Henry LeCates,,NESCAC Mens Championships
Amherst College,103,100 Fly,3,50.30,Tom Conaty,,NESCAC Mens Championships
Amherst College,103,100 Fly,4,51.02,Roan Haney,,NESCAC Mens Championships
Amherst College,103,100 Fly,5,51.13,Liam Mahoney,,NESCAC Mens Championships
Amherst College,103,100 Fly,6,52.00,Fynlan Nadel,,Conn Amherst CGA
Amherst College,103,100 Fly,7,53.01,Owen Vale,,NESCAC Mens Championships
Amherst College,103,100 Fly,8,53.37,Teddy Sun,,NESCAC Mens Championships
Amherst College,103,100 Fly,9,53.87,Emmanuel Odim,,Conn Amherst CGA
Amherst College,103,100 Fly,10,54.25,Ryan Roberts,,NESCAC Mens Championships
Amherst College,103,100 Free,1,44.80,Jack Goepfrich,,NESCAC Mens Championships
Amherst College,103,100 Free,2,45.39,Ethan Van De Water,,NESCAC Mens Championships
Amherst College,103,100 Free,3,45.83,Tom Conaty,,NESCAC Mens Championships
Amherst College,103,100 Free,4,46.85,Roan Haney,,NESCAC Mens Championships
Amherst College,103,100 Free,5,47.36,JP Giglio,,Menck Sprints
Amherst College,103,100 Free,6,47.56,Andrew Berkowitz,,NESCAC Mens Championships
Amherst College,103,100 Free,7,47.64,Cameron Aryanpour,,Conn Amherst CGA
Amherst College,103,100 Free,8,47.97,Henry Liu,,Conn Amherst CGA
Amherst College,103,100 Free,9,48.25,Teddy Sun,,Menck Sprints
Amherst College,103,100 Free,10,48.93,Henry LeCates,,MIT vs. Amherst
Amherst College,103,1000 Free,1,9:13.05,Benjamin Robins,,NESCAC Mens Championships
Amherst College,103,1000 Free,2,9:42.60,Charlie McMillan,,NESCAC Mens Championships
Amherst College,103,1000 Free,3,9:48.75,Jack D'Alessandro,,NESCAC Mens Championships
Amherst College,103,1000 Free,4,9:59.44,John Moll,,NESCAC Mens Championships
Amherst College,103,1000 Free,5,10:06.16,Ryan Roberts,,NESCAC Mens Championships
Amherst College,103,1650 Free,1,15:40.80,Benjamin Robins,,NESCAC Mens Championships
Amherst College,103,1650 Free,2,16:31.23,Jack D'Alessandro,,NESCAC Mens Championships
Amherst College,103,1650 Free,3,16:33.70,Charlie McMillan,,NESCAC Mens Championships
Amherst College,103,1650 Free,4,16:51.27,Ryan Roberts,,NESCAC Mens Championships
Amherst College,103,1650 Free,5,16:51.46,John Moll,,NESCAC Mens Championships
Amherst College,103,200 Back,1,1:51.70,Jonah Luetke,,NESCAC Mens Championships
Amherst College,103,200 Back,2,1:53.71,JP Giglio,,NESCAC Mens Championships
Amherst College,103,200 Back,3,1:54.38,Owen Vale,,Williams vs. Amherst
Amherst College,103,200 Back,4,1:59.19,Joel Chen,,Amherst vs. Colby
Amherst College,103,200 Back,5,1:59.85,Henry LeCates,,Amherst vs. Union (NY)
Amherst College,103,200 Back,6,2:01.00,Teddy Sun,,Amherst vs. Union (NY)
Amherst College,103,200 Back,7,2:02.02,Michael Jang,,MIT vs. Amherst
Amherst College,103,200 Breast,1,1:59.08,Eric Albers,,NESCAC Mens Championships
Amherst College,103,200 Breast,2,2:00.06,Henry Liu,,NESCAC Mens Championships
Amherst College,103,200 Breast,3,2:03.27,Michael Jang,,NESCAC Mens Championships
Amherst College,103,200 Breast,4,2:03.91,Jeffrey Ge,,NESCAC Mens Championships
Amherst College,103,200 Breast,5,2:04.14,Joel Chen,,NESCAC Mens Championships
Amherst College,103,200 Breast,6,2:05.20,Owen Vale,,MIT vs. Amherst
Amherst College,103,200 Breast,7,2:15.89,Teddy Sun,,MIT vs. Amherst
Amherst College,103,200 Breast,8,2:19.65,Ryan Roberts,,Amherst vs. Colby
Amherst College,103,200 Fly,1,1:48.16,Fynlan Nadel,,NESCAC Mens Championships
Amherst College,103,200 Fly,2,1:48.35,Owen Vale,,NESCAC Mens Championships
Amherst College,103,200 Fly,3,1:49.89,Henry LeCates,,NESCAC Mens Championships
Amherst College,103,200 Fly,4,1:51.66,Teddy Sun,,NESCAC Mens Championships
Amherst College,103,200 Fly,5,1:55.90,Liam Mahoney,,NESCAC Mens Championships
Amherst College,103,200 Fly,6,1:56.96,Jack Goepfrich,,Menck Sprints
Amherst College,103,200 Fly,7,2:00.49,Joel Chen,,Amherst vs. Union (NY)
Amherst College,103,200 Fly,8,2:02.58,Ryan Roberts,,Amherst vs. Union (NY)
Amherst College,103,200 Fly,9,2:05.20,Michael Jang,,Amherst vs. Union (NY)
Amherst College,103,200 Free,1,1:37.30,Jack Goepfrich,,NESCAC Mens Championships
Amherst College,103,200 Free,2,1:39.53,JP Giglio,,NESCAC Mens Championships
Amherst College,103,200 Free,3,1:40.72,Ethan Van De Water,,NESCAC Mens Championships
Amherst College,103,200 Free,4,1:41.26,Henry Liu,,NESCAC Mens Championships
Amherst College,103,200 Free,5,1:43.68,Owen Vale,,Menck Sprints
Amherst College,103,200 Free,6,1:43.75,Teddy Sun,,Amherst vs Springfield
Amherst College,103,200 Free,7,1:44.67,Andrew Berkowitz,,NESCAC Mens Championships
Amherst College,103,200 Free,8,1:44.75,Roan Haney,,Conn Amherst CGA
Amherst College,103,200 Free,9,1:45.28,Henry LeCates,,Menck Sprints
Amherst College,103,200 Free,10,1:46.11,Cameron Aryanpour,,Amherst vs Springfield
Amherst College,103,200 Im,1,1:47.84,Owen Vale,,NESCAC Mens Championships
Amherst College,103,200 Im,2,1:51.22,Henry Liu,,NESCAC Mens Championships
Amherst College,103,200 Im,3,1:52.81,JP Giglio,,NESCAC Mens Championships
Amherst College,103,200 Im,4,1:53.22,Joel Chen,,NESCAC Mens Championships
Amherst College,103,200 Im,5,1:54.24,Teddy Sun,,NESCAC Mens Championships
Amherst College,103,200 Im,6,1:57.64,Michael Jang,,Amherst vs Springfield
Amherst College,103,200 Im,7,1:58.83,Eric Albers,,MIT vs. Amherst
Amherst College,103,200 Im,8,1:59.39,Ryan Roberts,,MIT vs. Amherst
Amherst College,103,400 Im,1,3:50.78,Owen Vale,,NESCAC Mens Championships
Amherst College,103,400 Im,2,4:01.41,Michael Jang,,NESCAC Mens Championships
Amherst College,103,400 Im,3,4:04.70,Joel Chen,,NESCAC Mens Championships
Amherst College,103,400 Im,4,4:05.17,Henry Liu,,MIT vs. Amherst
Amherst College,103,400 Im,5,4:05.81,Teddy Sun,,NESCAC Mens Championships
Amherst College,103,400 Im,6,4:06.75,Ryan Roberts,,NESCAC Mens Championships
Amherst College,103,50 Free,1,20.56,Cameron Aryanpour,,NESCAC Mens Championships
Amherst College,103,50 Free,2,20.62,Ethan Van De Water,,NESCAC Mens Championships
Amherst College,103,50 Free,3,20.69,Jack Goepfrich,,NESCAC Mens Championships
Amherst College,103,50 Free,4,20.84,Tom Conaty,,NESCAC Mens Championships
Amherst College,103,50 Free,5,21.72,Henry LeCates,,Amherst vs Springfield
Amherst College,103,50 Free,6,21.75,Roan Haney,,Amherst vs Springfield
Amherst College,103,50 Free,7,21.91,Jonah Luetke,,Amherst vs Springfield
Amherst College,103,50 Free,8,22.14,Emmanuel Odim,,MIT vs. Amherst
Amherst College,103,50 Free,9,22.43,Andrew Berkowitz,,NESCAC Mens Championships
Amherst College,103,50 Free,10,22.48,Teddy Sun,,Wesleyan vs Amherst
Amherst College,103,500 Free,1,4:31.26,Benjamin Robins,,NESCAC Mens Championships
