school_name,team_id,event,rank,time,swimmer,year,meet
Aquinas College,10026352,100 Back,1,50.14,Titus Smith,,NAIA National Championships
Aquinas College,10026352,100 Back,2,51.55,Ian Clapp,,NAIA National Championships
Aquinas College,10026352,100 Back,3,54.76,Chungus Berns,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Back,4,56.79,Collin Neely,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Back,5,1:01.23,Anthony Dupuis,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Back,6,1:01.95,Nate Fisher,,Don Kimble Invitational
Aquinas College,10026352,100 Back,7,1:03.54,Matt Dumbsky,,"Aquinas vs. SVSU,  Albion"
Aquinas College,10026352,100 Breast,1,56.43,Luke Martin,,Don Kimble Invitational
Aquinas College,10026352,100 Breast,2,1:00.88,Bryce Hopson,,Bethel Last Chance Invite
Aquinas College,10026352,100 Breast,3,1:01.67,Tony Parlato,,Don Kimble Invitational
Aquinas College,10026352,100 Breast,4,1:05.38,Matt Dumbsky,,Davenport October Invite
Aquinas College,10026352,100 Fly,1,50.84,Talon Koppmann,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Fly,2,50.86,Titus Smith,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,3,51.32,Stan Tibben,,Aquinas vs Davenport
Aquinas College,10026352,100 Fly,4,51.86,Ian Clapp,,NAIA National Championships
Aquinas College,10026352,100 Fly,5,53.52,Collin Neely,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,6,53.89,Lucas Eussen,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Fly,7,54.56,Chungus Berns,,"Bethel vs Alma, Aquinas, Olivet"
Aquinas College,10026352,100 Fly,8,54.95,Bryce Hopson,,Bethel Last Chance Invite
Aquinas College,10026352,100 Fly,9,55.12,Carl Goeckel,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Fly,10,56.11,TJ Baumer,,Don Kimble Invitational
Aquinas College,10026352,100 Free,1,46.65,Titus Smith,,Don Kimble Invitational
Aquinas College,10026352,100 Free,2,46.84,Matt Dumbsky,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Free,3,47.23,Talon Koppmann,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Free,4,49.22,Luke Martin,,"Hillsdale vs. Aquinas, IWU"
Aquinas College,10026352,100 Free,5,49.33,William Sneller,,Aquinas vs Davenport
Aquinas College,10026352,100 Free,6,49.40,Lucas Eussen,,"Aquinas vs. SVSU,  Albion"
Aquinas College,10026352,100 Free,7,49.51,Chungus Berns,,Don Kimble Invitational
Aquinas College,10026352,100 Free,8,49.56,TJ Baumer,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Free,9,50.80,Collin Alward,,Don Kimble Invitational
Aquinas College,10026352,100 Free,10,51.53,Bryce Hopson,,Bethel Last Chance Invite
Aquinas College,10026352,1000 Free,1,10:13.17,William Sneller,,Davenport October Invite
Aquinas College,10026352,1000 Free,2,10:26.13,Lucas Eussen,,"Aquinas vs. SVSU,  Albion"
Aquinas College,10026352,1000 Free,3,10:56.02,Conrad Eichbauer,,Don Kimble Invitational
Aquinas College,10026352,1000 Free,4,11:02.96,Nate Fisher,,"Hillsdale vs. Aquinas, IWU"
Aquinas College,10026352,1000 Free,5,11:27.15,Sam Grant,,Aquinas vs Davenport
Aquinas College,10026352,1650 Free,1,16:37.88,Lucas Eussen,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,1650 Free,2,16:55.94,William Sneller,,Aquinas vs Davenport
Aquinas College,10026352,1650 Free,3,17:40.62,Nate Fisher,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,1650 Free,4,17:49.69,Conrad Eichbauer,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,1650 Free,5,18:07.85,Sam Grant,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,200 Back,1,1:51.42,Titus Smith,,NAIA National Championships
Aquinas College,10026352,200 Back,2,1:53.13,Ian Clapp,,Bethel Last Chance Invite
Aquinas College,10026352,200 Back,3,2:01.79,Chungus Berns,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,200 Back,4,2:13.89,Anthony Dupuis,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,200 Back,5,2:15.43,Collin Neely,,Davenport October Invite
Aquinas College,10026352,200 Breast,1,2:04.95,Luke Martin,,Don Kimble Invitational
Aquinas College,10026352,200 Breast,2,2:14.63,Bryce Hopson,,Don Kimble Invitational
Aquinas College,10026352,200 Breast,3,2:18.18,Tony Parlato,,Don Kimble Invitational
Aquinas College,10026352,200 Breast,4,2:30.09,Conrad Eichbauer,,Davenport October Invite
Aquinas College,10026352,200 Fly,1,1:55.70,Lucas Eussen,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,200 Fly,2,1:56.78,Stan Tibben,,Don Kimble Invitational
Aquinas College,10026352,200 Fly,3,2:03.19,Carl Goeckel,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,200 Fly,4,2:06.18,Bryce Hopson,,"Hillsdale vs. Aquinas, IWU"
Aquinas College,10026352,200 Fly,5,2:09.99,Collin Neely,,Don Kimble Invitational
Aquinas College,10026352,200 Fly,6,2:13.73,Nate Fisher,,Don Kimble Invitational
Aquinas College,10026352,200 Fly,7,2:29.83,Sam Grant,,Don Kimble Invitational
Aquinas College,10026352,200 Free,1,1:43.97,Titus Smith,,Don Kimble Invitational
Aquinas College,10026352,200 Free,2,1:45.29,Stan Tibben,,"Aquinas vs. SVSU,  Albion"
Aquinas College,10026352,200 Free,3,1:45.31,William Sneller,,Don Kimble Invitational
