school_name,team_id,event,rank,time,swimmer,year,meet
Amherst College,103,100 Back,1,56.62,Paige Arnold,,NESCAC Womens Championships
Amherst College,103,100 Back,2,58.94,Taryn Veronda,,NESCAC Womens Championships
Amherst College,103,100 Back,3,59.28,Emory Tudor,,NESCAC Womens Championships
Amherst College,103,100 Back,4,59.71,Ava Insteness,,Menck Sprints
Amherst College,103,100 Back,5,1:00.08,Hope Taylor,,Amherst vs. Colby
Amherst College,103,100 Back,6,1:00.67,Katy Niziol,,Conn Amherst CGA
Amherst College,103,100 Breast,1,1:05.25,Joline Fong,,NESCAC Womens Championships
Amherst College,103,100 Breast,2,1:07.63,Kaya Tray,,NESCAC Womens Championships
Amherst College,103,100 Breast,3,1:07.65,Ava Liu,,NESCAC Womens Championships
Amherst College,103,100 Breast,4,1:09.57,Sydney Thompson,,Menck Sprints
Amherst College,103,100 Breast,5,1:09.70,Annie Chang,,Amherst vs. Colby
Amherst College,103,100 Breast,6,1:10.34,Hope Taylor,,Amherst vs. Union (NY)
Amherst College,103,100 Breast,7,1:10.96,Sabrina Victor,,Conn Amherst CGA
Amherst College,103,100 Fly,1,54.66,Paige Arnold,,NESCAC Womens Championships
Amherst College,103,100 Fly,2,54.97,Maeve Kelley,,NESCAC Womens Championships
Amherst College,103,100 Fly,3,57.89,Diane Koo,,NESCAC Womens Championships
Amherst College,103,100 Fly,4,58.48,Alex Zorn,,NESCAC Womens Championships
Amherst College,103,100 Fly,5,58.76,Lucy Smith,,Amherst vs Springfield
Amherst College,103,100 Fly,6,59.31,Annie Chang,,NESCAC Womens Championships
Amherst College,103,100 Fly,7,59.40,Sabrina Victor,,NESCAC Womens Championships
Amherst College,103,100 Fly,8,59.78,Ariya Snelwar,,NESCAC Womens Championships
Amherst College,103,100 Fly,9,1:00.08,Simone Lilavois,,NESCAC Womens Championships
Amherst College,103,100 Fly,10,1:02.35,Lilia Manges,,Amherst vs Springfield
Amherst College,103,100 Free,1,50.67,Sydney Thompson,,NESCAC Womens Championships
Amherst College,103,100 Free,2,50.99,Paige Arnold,,NESCAC Womens Championships
Amherst College,103,100 Free,3,51.56,Lucy Smith,,NESCAC Womens Championships
Amherst College,103,100 Free,4,52.36,Ava Insteness,,NESCAC Womens Championships
Amherst College,103,100 Free,5,52.84,Maeve Kelley,,Amherst vs Springfield
Amherst College,103,100 Free,6,53.11,Penny Lazar,,NESCAC Womens Championships
Amherst College,103,100 Free,7,53.79,Katy Niziol,,NESCAC Womens Championships
Amherst College,103,100 Free,8,54.75,Kaya Tray,,Amherst vs Springfield
Amherst College,103,100 Free,9,54.90,Diane Koo,,MIT vs. Amherst
Amherst College,103,100 Free,10,55.12,Alex Zorn,,Wesleyan vs Amherst
Amherst College,103,1000 Free,1,10:19.90,Penny Lazar,,NESCAC Womens Championships
Amherst College,103,1000 Free,2,10:31.43,Emory Tudor,,NESCAC Womens Championships
Amherst College,103,1650 Free,1,17:16.85,Penny Lazar,,Conn Amherst CGA
