school_name,team_id,event,rank,time,swimmer,year,meet
Aquinas College,10026352,100 Back,1,58.62,Emersyn Joslin,,"Bethel vs Alma, Aquinas, Olivet"
Aquinas College,10026352,100 Back,2,58.92,Amelia Edens,,NAIA National Championships
Aquinas College,10026352,100 Back,3,1:01.22,Emma Hale,,Don Kimble Invitational
Aquinas College,10026352,100 Back,4,1:04.78,Chloe Boivin,,"Aquinas vs. SVSU,  Albion"
Aquinas College,10026352,100 Back,5,1:07.77,Katie Sanders,,Don Kimble Invitational
Aquinas College,10026352,100 Back,6,1:08.71,Lydia Henry,,Don Kimble Invitational
Aquinas College,10026352,100 Breast,1,1:07.94,Elena Cavadas,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Breast,2,1:11.49,Hannah Brown,,Davenport October Invite
Aquinas College,10026352,100 Breast,3,1:14.22,Elisabeth Zubal,,Kansas Collegiate Athletic Conference Championships
Aquinas College,10026352,100 Breast,4,1:14.36,Dailey Jogan,,Aquinas vs Davenport
Aquinas College,10026352,100 Breast,5,1:15.64,Nolynn Coombs,,Don Kimble Invitational
Aquinas College,10026352,100 Breast,6,1:20.54,Addi Dierickx,,"Aquinas vs. SVSU,  Albion"
Aquinas College,10026352,100 Breast,7,1:22.10,Morgan Foune,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,1,59.09,Amelia Edens,,NAIA National Championships
Aquinas College,10026352,100 Fly,2,1:02.08,Claire Hines,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,3,1:02.62,Adriana Waller,,Davenport October Invite
Aquinas College,10026352,100 Fly,4,1:03.82,Addie Osborne,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,5,1:04.31,Emma Hale,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,6,1:04.78,Ella Althaver,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,7,1:06.79,Morgan Foune,,"Bethel vs Alma, Aquinas, Olivet"
Aquinas College,10026352,100 Fly,8,1:08.68,Charlotte Boehm,,"Bethel vs Alma, Aquinas, Olivet"
Aquinas College,10026352,100 Fly,9,1:09.47,Meghan Hincher,,Don Kimble Invitational
Aquinas College,10026352,100 Fly,10,1:10.56,Lily Heath,,Don Kimble Invitational
Aquinas College,10026352,100 Free,1,52.92,Hannah Brown,,NAIA National Championships
Aquinas College,10026352,100 Free,2,53.46,Chloe Boivin,,Don Kimble Invitational
Aquinas College,10026352,100 Free,3,54.38,Addie Osborne,,Kansas Collegiate Athletic Conference Championships
